TF	Log10Events	MDS_difference	p-value
PRD14_0	2.295567099962479	0.03289589233583101	0.237783362776
SP3_0	3.9372670722114123	-0.007708656660781325	0.238381736713
TEAD4_0	2.9772662124272924	-0.018560431123784582	0.239673524016
CEBPG_0	2.5017437296279943	0.03380914031517482	0.240458974211
MEIS3_0	2.7690078709437738	0.016604396763674478	0.241438274753
ZN490_0	2.1613680022349744	-0.03713801043234647	0.241443839066
ZBT17_0	3.933917319988705	-0.005831744840630036	0.245011752421
TBR1_0	2.3394514413064402	0.02587054136722052	0.246373805481
ZBTB4_1	2.1613680022349744	-0.03808030950101243	0.248169676939
OLIG1_0	2.2417954312951984	0.04545270878070237	0.248403079701
GCM1_0	2.3242824552976926	-0.03392160736420137	0.249441762989
ANDR_2	3.4138025167693513	-0.009847706007923519	0.250029398815
FOXI1_0	2.659440781870318	-0.034332522758437706	0.253273571954
MEF2C_0	3.0191162904470725	0.01269804391498608	0.254247107516
RFX2_0	2.3031960574204886	-0.04428398269256065	0.254601303341
ZN436_0	2.6439459127480665	-0.022469342633493372	0.257269637697
DDIT3_0	2.8842287696326037	0.016408691395983388	0.257429586358
HXD10_0	3.03181227133037	-0.017250857500649863	0.258727242869
RREB1_0	3.288807947483478	-0.008789991062655265	0.259407376554
KLF15_0	3.969369311733527	-0.005954203389899547	0.260508022053
STAT3_0	2.9829492885744986	0.0188711735431972	0.260555173333
ISL1_0	2.832828129539353	0.01836027930902323	0.261020103252
TFE2_0	3.237543738142874	-0.013021627119585098	0.261371506099
OTX1_0	3.448397103457767	0.007381555293844504	0.26254274464
AP2D_0	2.841672250073634	-0.02034822082525381	0.263406447074
TLX1_0	2.741151598851785	0.023417615534238573	0.265229054369
KLF6_0	3.845594093160024	0.0075920314773651205	0.268317065959
ATOH1_0	3.2989621819201163	-0.01165956244682846	0.269205517253
MEF2A_0	2.999130541287371	0.012396085293699727	0.271445052975
DPRX_0	1.9084850188786497	0.03507135914544416	0.27266838791
STA5A_0	3.2147114210053838	0.012773851259570078	0.272874184823
WT1_1	3.554670835171456	0.008441463401346926	0.273571618067
KLF9_0	3.172748838982743	0.01942928999495283	0.27366646745
HME1_0	2.812244696800369	0.010625801600992598	0.274979099483
IRX2_0	2.6834973176798114	0.02235968434448457	0.275145621999
TBX1_0	3.3767593954048793	-0.010736306173295377	0.275334747758
NKX23_0	2.7218106152125463	0.021163994580184864	0.280377378078
LYL1_0	3.1533574714829733	0.013588720989919272	0.281610871603
REL_0	2.725911632295048	0.0209963626981772	0.2841842822
NR6A1_0	2.4800069429571505	0.023337698069677823	0.284382435663
KLF14_0	2.858236335429513	0.024424094828689513	0.28693952311
HXB8_0	2.702861170572929	-0.012612652388648922	0.287175991249
EHF_0	2.9890046156985366	-0.0208640563162871	0.28771425052
ZN341_0	3.903524064471262	-0.005388113404121748	0.288555721352
NDF1_0	2.90928852416225	0.01686518809229802	0.288810611866
ERR2_0	3.030802048772267	-0.011796082309626156	0.290997687296
RX_0	3.1246672176986094	0.008030991589264557	0.291311436242
HXD9_0	3.3156555252315307	-0.007680876471371589	0.291624106926
E4F1_0	1.7363965022766423	0.09610382949994842	0.29410198
MZF1_0	3.252731702726023	-0.00966133658024458	0.295558882765
TF65_0	2.725503268859315	0.019743583472840914	0.296507181784
MYBB_0	2.9036325160842376	0.015120124187627372	0.297348259874
PO4F3_0	2.5415792439465807	-0.018372781145583904	0.297833004476
ZN263_0	3.797440669986648	-0.006248482400641712	0.297894519298
HIC2_0	3.1308160500347437	0.012910619452236942	0.298279399904
UBIP1_0	4.457889462774043	-0.002668932358105126	0.300294876034
OSR2_0	3.358410786206336	-0.011772399961325062	0.300432325491
TCF7_0	2.715585551893196	-0.01823116684494311	0.301004660452
P5F1B_0	2.736396502276642	-0.014551308185953632	0.30234892224
HXC8_0	2.5224442335063197	0.01626650204772733	0.304868135892
RFX1_1	2.7528164311882715	0.020489712974498225	0.305216762802
MEF2D_0	2.9427519204298136	0.012992767772670487	0.307254140076
EGR3_0	2.6111920608684343	0.024045718119803133	0.308769927727
ZN589_0	2.519171463821659	-0.028614814070477418	0.308960076945
ZN317_0	2.5340261060561344	0.019586843660928673	0.30939646289
CPEB1_0	3.855367701618522	-0.0037444419270635503	0.31295774842
ZN263_1	3.608686457570363	-0.008233021669902417	0.316574184253
ID4_0	3.3868555291847238	0.006900771929618967	0.318591729287
ZBT7A_0	3.380844126464665	0.00806743045047151	0.318933478776
FOXC1_0	2.6196150057428063	0.0245096985837836	0.320842450202
LMX1B_0	3.249442961442582	0.005570998009022927	0.322528793731
ESR2_0	2.5831987739686224	0.0228684225492706	0.323386885201
GRHL1_0	2.68439647841902	0.022126988650829238	0.32424359089
CR3L2_0	1.8920946026904801	-0.05879824082171678	0.325120003193
ATF2_1	2.131939295210424	0.03125393473978447	0.32513921069
HXB4_0	3.319001899462316	0.008661259313166804	0.325610694943
EGR2_1	3.5494324370975345	-0.008355361277536636	0.327588336164
HXB6_0	2.4727564493172123	0.02087509563883582	0.327590376149
TF7L2_0	2.658011396657112	-0.0218380742076833	0.328584801865
ZN219_0	3.1434832106700616	-0.010748578676693555	0.330997363323
NOBOX_0	2.6454222693490914	-0.01652521897062937	0.332470607805
CR3L1_0	2.103803720955957	0.05449956638783873	0.333413895088
VAX2_0	2.3541084391474008	-0.019545545888886934	0.334495666399
GATA6_0	2.9802306913910313	0.016594593512394645	0.337264308589
BHE22_0	2.524396122103842	0.02340801682713778	0.340106820796
ZN768_0	3.0544215244625357	0.010349421502158203	0.340300508506
SPIC_0	3.8401688492407557	0.004770174766484879	0.344706080005
ZN394_1	2.9299295600845876	-0.012374609785927663	0.344957820736
NFYA_0	2.811575005870593	-0.023231891414173617	0.349398692848
PPARA_0	2.661812685537261	0.021880635556379036	0.34969379218
OVOL2_0	2.477844476338758	-0.02187384850937653	0.352724737152
HBP1_0	2.9044450410769094	0.012433291413341029	0.353258520934
HSF2_0	2.5282737771670436	-0.018004709721623352	0.353367424538
ZFX_0	3.1772478362556233	0.012971873440199929	0.353372433532
FOXF2_0	3.0766404436703416	0.010681870119221145	0.354545925467
CLOCK_0	2.696356388733332	-0.01826732456256913	0.355185123923
FOXJ2_0	3.8467081454560064	0.003283695030132318	0.357132847421
CDX1_0	3.398981066658131	0.006303931256100877	0.358690321645
NR1H3_0	2.5575072019056577	-0.022377037819286058	0.36046395082
SOX18_0	2.828337600059004	-0.013804285279938487	0.361312000018
GATA2_0	2.8280150642239765	-0.019337935937636747	0.361916777357
ZN547_0	2.1003705451175625	0.032543700619689794	0.361982820604
TGIF2_0	2.6106601630898796	-0.018163860164132725	0.363393149822
ZEP1_0	2.697665162647674	0.017375162023409718	0.363483552022
ZFX_1	3.3807537708038997	0.0087993426349417	0.364201276666
MYC_0	2.5085297189712863	0.024635854993040635	0.364725883381
LHX2_0	3.075911761482777	-0.009032248531880371	0.365860164262
TBX19_0	1.7075701760979363	0.0536964122532559	0.36641109773
SMAD4_0	2.866877814337499	0.01625390354220771	0.368582178531
BC11A_0	3.499755794663781	-0.006509415281074944	0.368776721613
MLX_0	2.287801729930226	-0.03704710960514895	0.369319902227
IRF2_0	3.1778249718646814	-0.008800234833413979	0.370050150124
ZNF76_0	2.6825962914605532	0.025931297610173015	0.370238043246
ZBTB6_0	2.7969210753301685	-0.0176906537611268	0.375465081142
